Fecha,Hora,NOO3,NOSO2,NONO2,NOCO,NOPM10,NOPM2,NEO3,NESO2,NENO2,NECO,NEPM10,NEPM2,CEO3,CESO2,CENO2,CECO,CEPM10,CEPM2,SOO3,SOSO2,SONO2,SOCO,SOPM10,SOPM2,SEO3,SESO2,SENO2,SECO,SEPM10,SEPM2
01/01/2019,1,NA,5,NA,10,64,74,NA,12,NA,10,94,74,NA,5,NA,10,57,67,NA,2,NA,9,38,59,NA,5,NA,9,52,65
01/01/2019,2,NA,6,NA,11,70,79,NA,12,NA,11,103,77,NA,5,NA,12,63,72,NA,2,NA,10,43,63,NA,5,NA,11,60,71
01/01/2019,3,NA,6,NA,NA,77,85,NA,13,NA,NA,107,86,NA,5,NA,NA,74,78,NA,2,NA,NA,51,67,NA,5,NA,NA,77,77
01/01/2019,4,6,6,17,NA,91,93,7,13,18,NA,115,101,1,5,17,NA,84,85,25,2,15,NA,61,73,8,5,16,NA,96,87
01/01/2019,5,7,6,16,NA,101,103,6,13,16,NA,125,108,1,5,19,NA,93,94,26,2,16,NA,70,78,9,6,16,NA,103,100
01/01/2019,6,5,5,16,NA,105,107,9,12,15,NA,135,119,1,5,17,NA,101,102,26,3,12,NA,77,83,8,6,15,NA,107,108
01/01/2019,7,5,5,15,NA,107,111,5,9,14,NA,143,133,1,5,16,NA,103,107,23,3,10,NA,81,88,9,6,14,NA,111,115
01/01/2019,8,5,5,15,NA,109,114,6,7,13,NA,150,147,2,5,16,NA,105,111,24,3,11,NA,84,91,9,5,14,NA,116,121
01/01/2019,9,8,5,14,11,110,117,4,6,20,25,157,159,9,5,17,14,107,114,21,3,9,7,88,92,9,4,15,15,117,127
01/01/2019,10,23,4,20,10,112,118,20,5,27,24,161,168,23,4,28,13,108,117,28,3,11,7,93,94,25,2,13,13,117,133
01/01/2019,11,41,5,25,10,112,120,42,5,21,22,164,174,39,3,21,13,110,120,41,3,11,7,94,95,46,2,17,12,118,139
01/01/2019,12,61,5,12,8,113,122,69,4,10,18,166,178,63,3,17,12,111,123,78,3,15,6,93,98,78,2,12,11,119,143
01/01/2019,13,90,5,11,6,113,125,100,4,9,15,163,181,90,3,14,10,112,126,120,2,15,6,93,102,104,2,10,10,118,143
01/01/2019,14,108,5,8,5,113,124,96,4,6,14,159,183,114,3,12,9,113,127,128,2,10,5,93,104,115,2,8,9,120,143
01/01/2019,15,115,5,10,5,113,124,109,4,8,12,159,184,117,3,11,7,114,128,127,2,8,5,94,106,116,2,6,8,119,142
01/01/2019,16,109,5,10,5,113,125,104,4,7,10,163,185,106,3,10,6,114,130,122,2,9,5,94,107,67,2,4,7,119,143
01/01/2019,17,108,5,10,5,114,126,82,4,7,7,162,185,94,3,7,5,115,131,117,3,10,5,97,109,41,2,3,5,118,144
01/01/2019,18,92,5,17,4,114,127,43,4,10,5,162,185,36,3,9,5,115,131,65,2,8,5,100,109,40,2,4,5,117,142
01/01/2019,19,40,5,22,3,115,127,28,4,14,4,162,185,29,3,18,4,115,131,41,2,16,5,101,109,31,2,8,4,117,142
01/01/2019,20,26,4,26,3,116,127,19,4,20,4,162,185,19,3,27,4,115,131,39,2,25,5,101,109,25,2,12,3,117,141
01/01/2019,21,31,4,23,3,115,127,15,4,23,5,161,184,22,3,22,4,115,131,31,3,19,5,101,108,20,2,18,3,117,141
01/01/2019,22,22,5,16,3,114,126,19,4,23,5,163,184,21,4,21,5,114,131,30,4,22,5,101,107,15,2,22,3,116,141
01/01/2019,23,22,7,15,3,114,126,9,4,23,6,160,184,16,5,22,5,115,131,29,4,20,5,100,107,13,2,20,4,114,141
01/01/2019,24,21,8,15,3,114,124,17,6,23,7,159,183,16,6,23,5,115,131,31,4,17,5,96,106,13,2,21,4,114,141
02/01/2019,1,20,9,13,3,113,122,10,8,20,8,155,184,15,7,21,5,114,131,29,4,12,5,93,105,11,2,20,5,113,140
02/01/2019,2,19,9,13,3,111,120,5,10,18,9,151,182,12,7,21,5,113,130,27,4,15,5,88,103,10,2,19,5,112,138
02/01/2019,3,15,10,11,3,108,117,4,12,15,9,147,177,4,8,19,5,113,129,29,4,12,5,81,100,9,2,17,6,110,135
02/01/2019,4,14,10,16,3,105,112,5,15,15,9,139,171,1,8,18,5,112,127,21,4,8,4,71,96,7,3,13,6,108,131
02/01/2019,5,11,11,16,3,103,107,5,18,14,8,131,162,3,8,17,5,111,124,14,4,10,4,65,91,9,3,14,6,107,126
02/01/2019,6,10,12,16,3,96,103,4,21,15,8,122,152,1,8,16,5,108,119,12,4,13,3,58,87,4,3,12,6,106,122
02/01/2019,7,3,12,15,3,90,99,5,24,14,7,114,138,0,8,15,5,107,114,8,4,19,4,54,83,4,3,14,6,104,117
02/01/2019,8,1,12,16,4,86,96,4,25,16,7,109,125,1,8,14,5,105,111,9,4,22,4,55,82,1,3,15,6,102,111
02/01/2019,9,3,12,18,5,84,95,5,27,17,7,108,116,2,9,18,6,105,108,12,4,16,4,55,82,4,3,14,6,100,107
02/01/2019,10,11,13,22,6,86,95,8,28,20,8,107,110,8,9,23,7,105,107,17,5,20,5,55,82,16,4,15,7,97,104
02/01/2019,11,19,12,29,7,87,95,15,29,20,9,107,107,15,9,24,8,105,105,21,5,23,5,55,83,26,4,17,8,94,101
02/01/2019,12,26,12,29,7,90,97,26,30,16,10,107,105,28,10,21,8,105,105,34,5,30,6,57,84,36,4,17,8,93,98
02/01/2019,13,38,12,20,8,91,98,40,30,13,9,106,106,37,10,20,8,105,105,45,5,26,6,60,82,44,4,18,8,93,96
02/01/2019,14,44,12,15,8,97,102,42,30,12,8,107,106,51,10,18,8,105,104,57,5,23,7,63,80,53,4,15,8,96,98
02/01/2019,15,78,12,18,7,99,104,49,30,12,8,107,106,59,10,20,8,105,105,67,5,23,7,64,81,50,4,15,8,96,97
02/01/2019,16,67,12,25,7,100,104,49,30,14,7,107,105,47,10,19,7,105,104,73,5,19,7,67,83,46,4,9,7,93,95
02/01/2019,17,61,12,24,6,100,103,36,30,14,6,107,104,42,10,16,6,106,104,51,5,18,7,68,83,39,4,7,6,91,93
02/01/2019,18,42,12,35,6,99,102,30,30,15,5,108,104,28,10,19,5,106,104,42,5,16,7,70,83,34,4,8,5,93,94
02/01/2019,19,21,12,34,7,99,102,26,30,21,5,108,104,16,10,21,5,106,104,33,5,20,6,67,81,29,4,12,5,94,95
02/01/2019,20,19,12,36,8,99,102,19,30,24,6,109,103,14,10,26,5,106,104,34,5,20,5,67,80,34,4,19,4,94,96
02/01/2019,21,15,12,33,11,100,102,9,30,30,7,109,103,16,10,27,5,106,103,31,5,16,5,65,78,19,4,19,3,96,96
